plot_id,elevation,canopy_closure,forest_structure_index,deadwood_volume,tree_microhabitats,percent_conifer,mean_dbh,arachnid_richness,collembola_richness,beetle_richness,total_richness
P001,704.8,43.4,0.536,3.15,2,94.1,26.2,41,8,11,28
P002,462.8,68.2,0.514,10.51,2,16.7,52.0,5,12,3,13
P003,785.1,41.5,0.858,7.03,4,62.7,34.5,19,19,4,25
P004,819.3,75.3,0.463,21.96,10,32.6,36.2,31,46,29,37
P005,298.8,51.9,0.385,20.61,7,64.2,18.0,13,4,4,14
P006,415.6,74.6,0.64,36.85,2,41.2,28.1,15,163,7,57
P007,673.0,78.6,0.266,4.7,7,76.0,35.9,27,29,11,28
P008,593.1,81.1,0.14,13.01,5,23.1,24.8,12,15,11,22
P009,647.0,41.5,0.478,21.35,3,90.6,42.2,20,40,18,34
P010,496.5,90.0,0.417,20.88,6,50.0,23.2,20,14,29,30
P011,808.3,48.8,0.233,53.77,4,75.6,31.4,34,105,6,48
P012,790.0,37.2,0.368,18.44,8,85.0,28.7,9,18,9,19
P013,661.9,68.3,0.366,8.59,4,99.9,35.5,37,9,5,25
P014,852.9,57.3,0.327,16.24,7,22.4,28.2,51,23,6,34
P015,734.2,84.8,0.379,8.68,7,28.7,31.6,15,17,11,22
P016,495.3,83.5,0.686,2.32,11,25.0,31.9,18,29,4,24
P017,716.4,54.0,0.297,11.8,4,26.3,27.4,7,6,7,16
P018,477.4,92.2,0.949,50.32,10,58.2,38.4,10,187,17,63
P019,808.1,52.5,0.916,7.75,4,99.4,36.1,39,6,12,26
P020,641.0,65.9,0.481,12.28,6,99.0,33.2,27,16,16,24
P021,616.7,50.4,0.328,18.76,4,52.7,30.1,10,28,6,23
P022,527.4,91.2,0.535,12.93,5,63.9,41.2,73,32,7,45
P023,870.1,44.9,0.849,6.57,9,86.0,31.9,14,21,23,28
P024,622.2,37.7,0.653,68.02,6,93.3,31.2,13,90,15,38
P025,572.9,61.1,0.804,39.1,6,20.4,34.9,13,5,19,25
P026,586.6,94.5,0.533,24.15,7,52.9,49.3,14,31,14,25
P027,745.8,88.5,0.633,14.65,5,83.3,21.9,9,9,2,15
P028,715.8,79.9,0.288,21.99,7,30.3,40.9,13,3,7,18
